name;name_enc;region_code;link;category
Hyatt Place Calgary Airport;Hyatt%20Place%20Calgary%20Airport;yycza;https://www.hyatt.com/en-US/hotel/canada/hyatt-place-calgary-airport/yycza;1
Hyatt Place Edmonton-West;Hyatt%20Place%20Edmonton-West;yegzw;https://www.hyatt.com/en-US/hotel/alberta/hyatt-place-edmonton-west/yegzw;1
Hyatt Place Prince George;Hyatt%20Place%20Prince%20George;yxszp;https://www.hyatt.com/en-US/hotel/canada/hyatt-place-prince-george/yxszp;1
Hyatt House Winnipeg-South/Outlet Collection;Hyatt%20House%20Winnipeg-South%2FOutlet%20Collection;ywgxw;https://www.hyatt.com/en-US/hotel/canada/hyatt-house-winnipeg-south-outlet-collection/ywgxw;1
Hyatt Place Moncton / Downtown;Hyatt%20Place%20Moncton%20%2F%20Downtown;yqmzm;https://www.hyatt.com/en-US/hotel/canada/hyatt-place-moncton-downtown/yqmzm;1
The Walper Hotel;The%20Walper%20Hotel;yyzjd;https://www.hyatt.com/en-US/hotel/canada/the-walper-hotel/yyzjd;1
Hyatt Place Birmingham/Hoover;Hyatt%20Place%20Birmingham%2FHoover;bhmzh;https://www.hyatt.com/en-US/hotel/alabama/hyatt-place-birmingham-hoover/bhmzh;1
Hyatt Place Birmingham/Inverness;Hyatt%20Place%20Birmingham%2FInverness;bhmzi;https://www.hyatt.com/en-US/hotel/alabama/hyatt-place-birmingham-inverness/bhmzi;1
Hyatt Place Huntsville/Research Park;Hyatt%20Place%20Huntsville%2FResearch%20Park;hsvzh;https://www.hyatt.com/en-US/hotel/alabama/hyatt-place-huntsville-research-park/hsvzh;1
Hyatt Place Tucson-Central;Hyatt%20Place%20Tucson-Central;tuszt;https://www.hyatt.com/en-US/hotel/arizona/hyatt-place-tucson-central/tuszt;1
Hyatt Place Rogers/Bentonville;Hyatt%20Place%20Rogers%2FBentonville;rogzb;https://www.hyatt.com/en-US/hotel/arkansas/hyatt-place-rogers-bentonville/rogzb;1
Hyatt House Colorado Springs;Hyatt%20House%20Colorado%20Springs;cosxc;https://www.hyatt.com/en-US/hotel/colorado/hyatt-house-colorado-springs/cosxc;1
Hyatt House Hartford North/Windsor;Hyatt%20House%20Hartford%20North%2FWindsor;bdlxw;https://www.hyatt.com/en-US/hotel/connecticut/hyatt-house-hartford-north-windsor/bdlxw;1
Hyatt House Shelton;Hyatt%20House%20Shelton;ispxs;https://www.hyatt.com/en-US/hotel/connecticut/hyatt-house-shelton/ispxs;1
Hyatt Place Milford / New Haven;Hyatt%20Place%20Milford%20%2F%20New%20Haven;bdlzm;https://www.hyatt.com/en-US/hotel/connecticut/hyatt-place-milford-new-haven/bdlzm;1
Hyatt Place Jacksonville Airport;Hyatt%20Place%20Jacksonville%20Airport;jaxzj;https://www.hyatt.com/en-US/hotel/florida/hyatt-place-jacksonville-airport/jaxzj;1
Hyatt Place Atlanta Airport-North;Hyatt%20Place%20Atlanta%20Airport-North;atlza;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-airport-north/atlza;1
Hyatt Place Atlanta Airport-South;Hyatt%20Place%20Atlanta%20Airport-South;atlzs;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-airport-south/atlzs;1
Hyatt Place Atlanta/Alpharetta/North Point Mall;Hyatt%20Place%20Atlanta%2FAlpharetta%2FNorth%20Point%20Mall;atlzm;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-alpharetta-north-point-mall/atlzm;1
Hyatt Place Atlanta/Alpharetta/Windward Parkway;Hyatt%20Place%20Atlanta%2FAlpharetta%2FWindward%20Parkway;atlzi;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-alpharetta-windward-parkway/atlzi;1
